trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn100814160,GRB100814A,35,1.44,150.528,G,N,1.5343246776300002e-07,1.3544406524960002e-07,1.7142087027640002e-07,2.30958825075e-05,2.038812425396e-05,2.5803640761039998e-05,3.2854846726455715e+28,3.1492624843841175e+28,3.6893338010071055e+28,1.283965901281444e+53,1.1334339064408155e+53,1.4344978961220724e+53,1.5053199484062847e+52,1.179702007843366e+53,1.041393898273694e+53,1.318010117413038e+53,1.3830810956967209e+52,1.6190136146145152e+53,1.429200669552014e+53,1.8088265596770163e+53,1.898129450625013e+52
bn100816026,GRB100816A,36,0.804,2.048,G,N,2.10534592295e-06,1.944503082499e-06,2.266188763401e-06,4.3117484501900004e-06,3.9823423129459996e-06,4.6411545874340005e-06,1.6019134835134962e+28,1.6003795718162398e+28,1.651613177869667e+28,7.707346083439976e+51,7.118525299695793e+51,8.296166867184157e+51,5.888207837441831e+50,7.692592817209427e+51,7.10489914384677e+51,8.280286490572083e+51,5.8769367336265665e+50,8.193008878126859e+51,7.567084745926929e+51,8.81893301032679e+51,6.259241321999305e+50
bn100906576,GRB100906A,37,1.7269999999999999,110.59200000000001,G,N,3.07709178937e-07,2.845358440613e-07,3.308825138127e-07,3.4030173517e-05,3.146738806643e-05,3.659295896757e-05,4.108360097319729e+28,3.8563213559040564e+28,4.813445247241633e+28,2.646829062049687e+53,2.4474984589606914e+53,2.8461596651386827e+53,1.9933060308899565e+52,2.3320363981456905e+53,2.1564125815823737e+53,2.507660214709007e+53,1.7562381656331673e+52,3.633297514929546e+53,3.359676752925437e+53,3.906918276933654e+53,2.736207620041088e+52
bn110213220,GRB110213A,41,1.46,34.304,G,N,4.6737247912600004e-07,4.417326934693e-07,4.930122647827001e-07,1.60327455239e-05,1.5153198316732999e-05,1.6912292731067e-05,3.3417922212672877e+28,3.198739963579387e+28,3.7635651331004905e+28,9.146217900531676e+52,8.644461641844634e+52,9.647974159218716e+52,5.017562586870416e+51,8.379932661634224e+52,7.920214370852358e+52,8.839650952416088e+52,4.5971829078186607e+51,1.1600628768559305e+53,1.0964224939935102e+53,1.2237032597183507e+53,6.364038286242023e+51
bn111228657,GRB111228A,45,0.716,101.3776979,G,N,2.41093675437e-07,2.261649731159e-07,2.5602237775809997e-07,2.4441521794e-05,2.292808432005e-05,2.595495926795e-05,1.3899519025850508e+28,1.3957227407443352e+28,1.419415349654428e+28,3.457963206120546e+52,3.2438435148921615e+52,3.672082897348931e+52,2.1411969122838472e+51,3.486736534961996e+52,3.270835177498343e+52,3.7026378924256486e+52,2.1590135746365307e+51,3.6061170400397086e+52,3.382823551612752e+52,3.829410528466665e+52,2.2329348842695665e+51
bn120119170,GRB120119A,46,1.7280000000000002,55.29600000000001,G,N,8.402212478970002e-07,8.052646955521998e-07,8.751778002418001e-07,4.64608741237e-05,4.452791660524e-05,4.839383164216e-05,4.111279377393575e+28,3.8587666931582453e+28,4.817583075458861e+28,3.6174859583565136e+53,3.466984126158703e+53,3.7679877905543244e+53,1.5050183219781041e+52,3.186764107105523e+53,3.0541820204235616e+53,3.3193461937874845e+53,1.3258208668196143e+52,4.967196026216825e+53,4.760540876359395e+53,5.173851176074256e+53,2.0665514985742981e+52
bn120711115,GRB120711A,48,1.405,44.032,G,N,7.847978424760001e-06,7.744592985859001e-06,7.951363863661e-06,0.000345562185999,0.00034100991835331,0.00035011445364469,3.1873531644057602e+28,3.0626632902740985e+28,3.560910931958128e+28,1.834346474850162e+54,1.810181689330284e+54,1.8585112603700397e+54,2.4164785519878e+52,1.6936337596671852e+54,1.6713226548062975e+54,1.715944864528073e+54,2.2311104860887725e+52,2.2895135482557792e+54,2.25935261377748e+54,2.3196744827340785e+54,3.0160934478299313e+52
bn120712571,GRB120712A,49,4.1745,22.528000000000002,G,N,2.5073867465e-07,2.2461967376849998e-07,2.768576755315e-07,5.6486408625e-06,5.0602320106419994e-06,6.237049714358001e-06,1.1914003518822904e+29,8.917061351098814e+28,1.9511951573808677e+29,1.9471566142137994e+53,1.7443247798581323e+53,2.1499884485694673e+53,2.0283183435566718e+52,1.090759352662763e+53,9.77136894804889e+52,1.2043818105206375e+53,1.1362245785787416e+52,5.222601089828835e+53,4.678572041818434e+53,5.766630137839237e+53,5.440290480104015e+52
bn121128212,GRB121128A,54,2.2,17.344,G,N,6.090209939439999e-07,5.786797346828999e-07,6.393622532051e-07,1.0562860119e-05,1.0036621318375999e-05,1.1089098919624001e-05,5.522986335332186e+28,4.9849117751142145e+28,6.941560670882183e+28,1.2652878907974182e+53,1.2022515943212758e+53,1.3283241872735606e+53,6.303629647614239e+51,1.0307571762681503e+53,9.794051358110166e+52,1.0821092167252842e+53,5.135204045713372e+51,1.9987370456614466e+53,1.8991605129968054e+53,2.0983135783260876e+53,9.957653266464123e+51
bn130925173,GRB130925A,62,0.34700000000000003,215.55200000000002,G,N,4.66244995168e-07,4.5500862971870004e-07,4.774813606173001e-07,0.000100500041198,9.807802015267e-05,0.00010292206224333,5.84505771281717e+27,5.958352998573677e+27,5.807980165072616e+27,3.203215190770526e+52,3.126018659184215e+52,3.2804117223568373e+52,7.719653158631122e+50,3.328595075528517e+52,3.248376926080909e+52,3.4088132249761243e+52,8.02181494476075e+50,3.162705524159211e+52,3.0864852634669447e+52,3.2389257848514775e+52,7.622026069226643e+50
bn140206304,GRB140206A,67,2.74,27.264,G,N,6.56989521884e-07,6.27030003315e-07,6.869490404530001e-07,1.79121623246e-05,1.7095346010335e-05,1.8728978638864998e-05,7.205717444423132e+28,6.177292003306183e+28,9.789032227258199e+28,3.1249331750012763e+53,2.9824324343272454e+53,3.2674339156753062e+53,1.4250074067403082e+52,2.296585086696871e+53,2.1918580229333063e+53,2.4013121504604352e+53,1.0472706376356487e+52,5.7672103865971e+53,5.504218602232715e+53,6.030202170961485e+53,2.629917843643852e+52
bn140213807,GRB140213A,68,1.2076,18.624000000000002,G,N,1.35912937924e-06,1.3236927807215001e-06,1.3945659777584999e-06,2.5312425558999997e-05,2.4652454348191e-05,2.5972396769808992e-05,2.6443261166304e+28,2.5751136105150827e+28,2.8719837143692916e+28,1.007519059667086e+53,9.812500017227277e+52,1.0337881176114442e+53,2.6269057944358288e+51,9.55467744919493e+52,9.305558216020828e+52,9.803796682369029e+52,2.4911923317410128e+51,1.188467165693457e+53,1.1574802453558062e+53,1.2194540860311076e+53,3.098692033765079e+51
